indexid,question_id,formula,status,inorder_term,sorted_term,structure_term,constant_term,variable_term
32,20010300101,2x^2+y^2-4x=39,1,"[['msup$+$msup$-', '+$msup$-$='], ['msup$+$msup', '+$msup$-', 'msup$-$='], ['msup$+', '+$msup', 'msup$-', '-$=']]","[['-$+$=$msup', '+$=$msup$msup'], ['-$+$=', '+$=$msup', '=$msup$msup'], ['-$+', '+$=', '=$msup', 'msup$msup'], ['-', '+', '=', 'msup', 'msup']]",[],"['cn', 'msup$cn']","['var', 'msup$var']"
33,20010300107,x(2x + 5) > 12,1,"[[], ['mfenced$+$gt;'], ['mfenced$+', '+$gt;']]","[[], ['+$gt;$mfenced'], ['+$gt;', 'gt;$mfenced'], ['+', 'gt;', 'mfenced']]",['mfenced$+'],"['mfenced$cn', 'cn']","['var', 'mfenced$var']"
34,20010300107,4x^2+k^2+1=4(k-3)x,1,"[['msup$+$msup$+', '+$msup$+$=', 'msup$+$=$mfenced', '+$=$mfenced$-'], ['msup$+$msup', '+$msup$+', 'msup$+$=', '+$=$mfenced', '=$mfenced$-'], ['msup$+', '+$msup', 'msup$+', '+$=', '=$mfenced', 'mfenced$-']]","[['-$+$+$=', '+$+$=$mfenced', '+$=$mfenced$msup', '=$mfenced$msup$msup'], ['-$+$+', '+$+$=', '+$=$mfenced', '=$mfenced$msup', 'mfenced$msup$msup'], ['-$+', '+$+', '+$=', '=$mfenced', 'mfenced$msup', 'msup$msup'], ['-', '+', '+', '=', 'mfenced', 'msup', 'msup']]",['mfenced$-'],"['mfenced$cn', 'cn', 'msup$cn']","['mfenced$var', 'var', 'msup$var']"
35,20020100101,y^2=xy-1,1,"[[], ['msup$=$-'], ['msup$=', '=$-']]","[[], ['-$=$msup'], ['-$=', '=$msup'], ['-', '=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
36,20020200109,y^2=4x+8,1,"[[], ['msup$=$+'], ['msup$=', '=$+']]","[[], ['+$=$msup'], ['+$=', '=$msup'], ['+', '=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
37,20020200109,x^2+ax>b,1,"[[], ['msup$+$gt;'], ['msup$+', '+$gt;']]","[[], ['+$gt;$msup'], ['+$gt;', 'gt;$msup'], ['+', 'gt;', 'msup']]",[],['msup$cn'],"['var', 'msup$var']"
38,20020200109,(x:x>2) \cup (x:x<-4),1,"[['mfenced$:$gt;$\\', ':$gt;$\\$mfenced', 'gt;$\\$mfenced$:', '\\$mfenced$:$lt;', 'mfenced$:$lt;$-'], ['mfenced$:$gt;', ':$gt;$\\', 'gt;$\\$mfenced', '\\$mfenced$:', 'mfenced$:$lt;', ':$lt;$-'], ['mfenced$:', ':$gt;', 'gt;$\\', '\\$mfenced', 'mfenced$:', ':$lt;', 'lt;$-']]","[['-$:$:$\\', ':$:$\\$gt;', ':$\\$gt;$lt;', '\\$gt;$lt;$mfenced', 'gt;$lt;$mfenced$mfenced'], ['-$:$:', ':$:$\\', ':$\\$gt;', '\\$gt;$lt;', 'gt;$lt;$mfenced', 'lt;$mfenced$mfenced'], ['-$:', ':$:', ':$\\', '\\$gt;', 'gt;$lt;', 'lt;$mfenced', 'mfenced$mfenced'], ['-', ':', ':', '\\', 'gt;', 'lt;', 'mfenced', 'mfenced']]","['mfenced$:', 'mfenced$gt;', 'mfenced$:', 'mfenced$lt;', 'mfenced$-']",['mfenced$cn'],"['mfenced$var', 'var']"
39,20020300102,y = mx -9,1,"[[], [], ['=$-']]","[[], [], ['-$='], ['-', '=']]",[],['cn'],['var']
40,20020300102,x^2=4y,1,"[[], [], ['msup$=']]","[[], [], ['=$msup'], ['=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
41,20030100101,y = kx ? 2,1,"[[], [], ['=$?']]","[[], [], ['?$='], ['?', '=']]",[],['cn'],['var']
42,20030100101,y^2=4x-x^2,1,"[['msup$=$-$msup'], ['msup$=$-', '=$-$msup'], ['msup$=', '=$-', '-$msup']]","[['-$=$msup$msup'], ['-$=$msup', '=$msup$msup'], ['-$=', '=$msup', 'msup$msup'], ['-', '=', 'msup', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
43,20030100105,y=3 + \frac{4}{x},1,"[['=$+$\\$mfrac'], ['=$+$\\', '+$\\$mfrac'], ['=$+', '+$\\', '\\$mfrac']]","[['\\$+$=$mfrac'], ['\\$+$=', '+$=$mfrac'], ['\\$+', '+$=', '=$mfrac'], ['\\', '+', '=', 'mfrac']]",[],"['mfrac$mfenced$cn', 'cn']","['var', 'mfrac$mrow$var']"
44,20030200106,x^2-8x+12\geq0,1,"[['msup$-$+$\\', '-$+$\\$#8805;'], ['msup$-$+', '-$+$\\', '+$\\$#8805;'], ['msup$-', '-$+', '+$\\', '\\$#8805;']]","[['-$#8805;$\\$+', '#8805;$\\$+$msup'], ['-$#8805;$\\', '#8805;$\\$+', '\\$+$msup'], ['-$#8805;', '#8805;$\\', '\\$+', '+$msup'], ['-', '#8805;', '\\', '+', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
45,20030200106,x^2-8x<0,1,"[[], ['msup$-$lt;'], ['msup$-', '-$lt;']]","[[], ['-$lt;$msup'], ['-$lt;', 'lt;$msup'], ['-', 'lt;', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
46,20030200106,|x^2-8x+6|<6,1,"[['mfenced$msup$-$+', 'msup$-$+$lt;'], ['mfenced$msup$-', 'msup$-$+', '-$+$lt;'], ['mfenced$msup', 'msup$-', '-$+', '+$lt;']]","[['-$+$lt;$mfenced', '+$lt;$mfenced$msup'], ['-$+$lt;', '+$lt;$mfenced', 'lt;$mfenced$msup'], ['-$+', '+$lt;', 'lt;$mfenced', 'mfenced$msup'], ['-', '+', 'lt;', 'mfenced', 'msup']]","['mfenced$msup', 'mfenced$-', 'mfenced$+']","['cn', 'mfenced$msup$cn', 'mfenced$cn']","['mfenced$var', 'mfenced$msup$var']"
47,20030300101,y^2=2x+3,1,"[[], ['msup$=$+'], ['msup$=', '=$+']]","[[], ['+$=$msup'], ['+$=', '=$msup'], ['+', '=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
48,20030400101,y^2=2x+7,1,"[[], ['msup$=$+'], ['msup$=', '=$+']]","[[], ['+$=$msup'], ['+$=', '=$msup'], ['+', '=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
49,20040400104,y^2+(x+k)^2=2,1,"[['msup$+$msup$mfenced', '+$msup$mfenced$+', 'msup$mfenced$+$='], ['msup$+$msup', '+$msup$mfenced', 'msup$mfenced$+', 'mfenced$+$='], ['msup$+', '+$msup', 'msup$mfenced', 'mfenced$+', '+$=']]","[['+$+$=$mfenced', '+$=$mfenced$msup', '=$mfenced$msup$msup'], ['+$+$=', '+$=$mfenced', '=$mfenced$msup', 'mfenced$msup$msup'], ['+$+', '+$=', '=$mfenced', 'mfenced$msup', 'msup$msup'], ['+', '+', '=', 'mfenced', 'msup', 'msup']]","['msup$mfenced', 'msup$mfenced$+']","['msup$cn', 'cn']","['msup$mfenced$var', 'msup$var']"
50,20050300101,(x-6)^2>x,1,"[['msup$mfenced$-$gt;'], ['msup$mfenced$-', 'mfenced$-$gt;'], ['msup$mfenced', 'mfenced$-', '-$gt;']]","[['-$gt;$mfenced$msup'], ['-$gt;$mfenced', 'gt;$mfenced$msup'], ['-$gt;', 'gt;$mfenced', 'mfenced$msup'], ['-', 'gt;', 'mfenced', 'msup']]","['msup$mfenced', 'msup$mfenced$-']","['msup$mfenced$cn', 'msup$cn']","['var', 'msup$mfenced$var']"
51,20050300103,y=2x+\frac{6}{x},1,"[['=$+$\\$mfrac'], ['=$+$\\', '+$\\$mfrac'], ['=$+', '+$\\', '\\$mfrac']]","[['\\$+$=$mfrac'], ['\\$+$=', '+$=$mfrac'], ['\\$+', '+$=', '=$mfrac'], ['\\', '+', '=', 'mfrac']]",[],"['mfrac$mfenced$cn', 'cn']","['var', 'mfrac$mrow$var']"
52,20050400102,y^2-2x+4,1,"[[], ['msup$-$+'], ['msup$-', '-$+']]","[[], ['-$+$msup'], ['-$+', '+$msup'], ['-', '+', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
53,20060400105,2x^2-y^2=2xy-6,1,"[['msup$-$msup$=', '-$msup$=$-'], ['msup$-$msup', '-$msup$=', 'msup$=$-'], ['msup$-', '-$msup', 'msup$=', '=$-']]","[['-$-$=$msup', '-$=$msup$msup'], ['-$-$=', '-$=$msup', '=$msup$msup'], ['-$-', '-$=', '=$msup', 'msup$msup'], ['-', '-', '=', 'msup', 'msup']]",[],"['cn', 'msup$cn']","['var', 'msup$var']"
54,20060400105,24\sqrt5,1,"[[], [], []]","[[], [], [], ['\\']]",[],"['msqrt$cn', 'cn']",[]
